Weather Scenario,Year,EVA category 1,Average of Value
WS04,2030,Nuclear,6432.9
WS05,2030,Nuclear,6460.4
WS06,2030,Nuclear,6311.8
WS07,2030,Nuclear,6266.3
WS08,2030,Nuclear,5943.2
WS09,2030,Nuclear,6288.4
WS10,2030,Nuclear,6359.4
WS11,2030,Nuclear,6272.1
WS12,2030,Nuclear,6452.4
WS13,2030,Nuclear,6157.5
WS14,2030,Nuclear,6191.7
WS15,2030,Nuclear,6388.1
WS16,2030,Nuclear,5729.8
WS17,2030,Nuclear,6377.4
WS18,2030,Nuclear,6475.5
WS19,2030,Nuclear,6228.0
WS20,2030,Nuclear,6073.2
WS21,2030,Nuclear,6122.5
WS22,2030,Nuclear,5835.2
WS23,2030,Nuclear,6480.5
WS24,2030,Nuclear,5544.2
WS25,2030,Nuclear,6226.7
WS26,2030,Nuclear,5921.2
WS27,2030,Nuclear,6183.4
WS28,2030,Nuclear,6288.9
WS29,2030,Nuclear,6133.8
WS30,2030,Nuclear,6385.3
WS31,2030,Nuclear,6140.3
WS32,2030,Nuclear,5700.5
WS33,2030,Nuclear,5986.3
WS34,2030,Nuclear,6158.5
WS35,2030,Nuclear,6315.7
WS36,2030,Nuclear,6446.6
WS01,2033,Nuclear,5763.7
WS02,2033,Nuclear,5700.7
WS03,2033,Nuclear,5426.1
WS04,2033,Nuclear,6029.0
WS05,2033,Nuclear,5873.6
WS06,2033,Nuclear,5682.4
WS07,2033,Nuclear,5624.3
WS08,2033,Nuclear,5076.3
WS09,2033,Nuclear,5660.3
WS10,2033,Nuclear,5731.9
WS11,2033,Nuclear,5978.4
WS12,2033,Nuclear,5943.1
WS13,2033,Nuclear,5725.5
WS14,2033,Nuclear,5312.0
WS15,2033,Nuclear,5967.0
WS16,2033,Nuclear,5017.4
WS17,2033,Nuclear,5729.3
WS18,2033,Nuclear,5811.1
WS19,2033,Nuclear,5449.9
WS20,2033,Nuclear,5456.3
WS21,2033,Nuclear,5247.8
WS22,2033,Nuclear,4896.2
WS23,2033,Nuclear,5900.9
WS24,2033,Nuclear,4621.1
WS25,2033,Nuclear,5855.6
WS26,2033,Nuclear,5242.8
WS27,2033,Nuclear,5666.5
WS28,2033,Nuclear,5794.1
WS29,2033,Nuclear,5810.2
WS30,2033,Nuclear,5598.4
WS31,2033,Nuclear,5546.8
WS32,2033,Nuclear,5158.8
WS33,2033,Nuclear,5285.9
WS34,2033,Nuclear,5497.6
WS35,2033,Nuclear,6014.4
WS36,2033,Nuclear,6068.0
WS01,2035,Nuclear,5631.5
WS02,2035,Nuclear,5591.2
WS03,2035,Nuclear,5460.7
WS04,2035,Nuclear,6083.3
WS05,2035,Nuclear,5625.0
WS06,2035,Nuclear,5524.7
WS07,2035,Nuclear,5237.1
WS08,2035,Nuclear,4667.2
WS09,2035,Nuclear,5714.4
WS10,2035,Nuclear,5618.6
WS11,2035,Nuclear,5598.2
WS12,2035,Nuclear,5977.0
WS13,2035,Nuclear,5463.7
WS14,2035,Nuclear,5397.2
WS15,2035,Nuclear,5908.4
WS16,2035,Nuclear,4854.5
WS17,2035,Nuclear,5728.0
WS18,2035,Nuclear,5742.3
WS19,2035,Nuclear,5694.7
WS20,2035,Nuclear,5322.2
WS21,2035,Nuclear,4982.0
WS22,2035,Nuclear,4875.5
WS23,2035,Nuclear,5743.8
WS24,2035,Nuclear,4613.1
WS25,2035,Nuclear,5766.7
WS26,2035,Nuclear,5200.5
WS27,2035,Nuclear,5017.1
WS28,2035,Nuclear,5668.6
WS29,2035,Nuclear,5574.6
WS30,2035,Nuclear,5433.9
WS31,2035,Nuclear,5368.6
WS32,2035,Nuclear,4950.2
WS33,2035,Nuclear,4966.7
WS34,2035,Nuclear,5171.4
WS35,2035,Nuclear,5758.0
WS36,2035,Nuclear,5694.0
WS01,2028,Solar PV,905.9
WS02,2028,Solar PV,859.2
WS03,2028,Solar PV,929.5
WS04,2028,Solar PV,939.2
WS05,2028,Solar PV,898.3
WS06,2028,Solar PV,927.8
WS07,2028,Solar PV,973.1
WS08,2028,Solar PV,963.3
WS09,2028,Solar PV,881.6
WS10,2028,Solar PV,1023.9
WS11,2028,Solar PV,982.5
WS12,2028,Solar PV,886.2
WS13,2028,Solar PV,944.8
WS14,2028,Solar PV,908.6
WS15,2028,Solar PV,883.7
WS16,2028,Solar PV,906.6
WS17,2028,Solar PV,947.6
WS18,2028,Solar PV,889.8
WS19,2028,Solar PV,1014.7
WS20,2028,Solar PV,943.3
WS21,2028,Solar PV,934.4
WS22,2028,Solar PV,932.1
WS23,2028,Solar PV,865.7
WS24,2028,Solar PV,950.7
WS25,2028,Solar PV,1041.4
WS26,2028,Solar PV,1016.0
WS27,2028,Solar PV,927.4
WS28,2028,Solar PV,931.9
WS29,2028,Solar PV,995.0
WS30,2028,Solar PV,918.6
WS31,2028,Solar PV,936.2
