Weather Scenario,Year,EVA category 1,Average of Value
WS26,2033,Nuclear,5603.9
WS27,2033,Nuclear,6092.5
WS28,2033,Nuclear,6091.1
WS29,2033,Nuclear,6126.9
WS30,2033,Nuclear,6028.1
WS31,2033,Nuclear,5955.0
WS32,2033,Nuclear,5544.4
WS33,2033,Nuclear,5587.9
WS34,2033,Nuclear,5870.7
WS35,2033,Nuclear,6313.3
WS36,2033,Nuclear,6342.8
WS01,2035,Nuclear,5773.9
WS02,2035,Nuclear,5768.2
WS03,2035,Nuclear,5618.7
WS04,2035,Nuclear,6225.9
WS05,2035,Nuclear,5803.5
WS06,2035,Nuclear,5726.7
WS07,2035,Nuclear,5458.8
WS08,2035,Nuclear,4942.2
WS09,2035,Nuclear,5880.9
WS10,2035,Nuclear,5846.5
WS11,2035,Nuclear,5822.8
WS12,2035,Nuclear,6165.9
WS13,2035,Nuclear,5659.9
WS14,2035,Nuclear,5604.5
WS15,2035,Nuclear,6050.0
WS16,2035,Nuclear,5055.6
WS17,2035,Nuclear,5904.3
WS18,2035,Nuclear,5919.4
WS19,2035,Nuclear,5834.1
WS20,2035,Nuclear,5522.4
WS21,2035,Nuclear,5214.3
WS22,2035,Nuclear,5130.0
WS23,2035,Nuclear,5882.4
WS24,2035,Nuclear,4812.5
WS25,2035,Nuclear,5971.0
WS26,2035,Nuclear,5426.5
WS27,2035,Nuclear,5263.8
WS28,2035,Nuclear,5849.0
WS29,2035,Nuclear,5786.4
WS30,2035,Nuclear,5634.1
WS31,2035,Nuclear,5561.0
WS32,2035,Nuclear,5149.8
WS33,2035,Nuclear,5149.7
WS34,2035,Nuclear,5378.3
WS35,2035,Nuclear,5871.8
WS36,2035,Nuclear,5874.1
WS01,2028,Solar PV,911.0
WS02,2028,Solar PV,864.7
WS03,2028,Solar PV,933.7
WS04,2028,Solar PV,944.7
WS05,2028,Solar PV,905.4
WS06,2028,Solar PV,931.6
WS07,2028,Solar PV,978.5
WS08,2028,Solar PV,970.9
WS09,2028,Solar PV,885.5
WS10,2028,Solar PV,1034.9
WS11,2028,Solar PV,988.7
WS12,2028,Solar PV,890.0
WS13,2028,Solar PV,949.9
WS14,2028,Solar PV,913.4
WS15,2028,Solar PV,887.5
WS16,2028,Solar PV,910.4
WS17,2028,Solar PV,953.0
WS18,2028,Solar PV,894.7
WS19,2028,Solar PV,1021.8
WS20,2028,Solar PV,948.4
WS21,2028,Solar PV,940.8
WS22,2028,Solar PV,938.6
WS23,2028,Solar PV,870.8
WS24,2028,Solar PV,961.9
WS25,2028,Solar PV,1055.2
WS26,2028,Solar PV,1022.8
WS27,2028,Solar PV,935.1
WS28,2028,Solar PV,942.4
WS29,2028,Solar PV,1004.8
WS30,2028,Solar PV,923.7
WS31,2028,Solar PV,941.5
WS32,2028,Solar PV,1011.0
WS33,2028,Solar PV,933.6
WS34,2028,Solar PV,966.9
WS35,2028,Solar PV,862.6
WS36,2028,Solar PV,920.5
WS01,2030,Solar PV,905.7
WS02,2030,Solar PV,858.5
WS03,2030,Solar PV,932.1
WS04,2030,Solar PV,943.3
WS05,2030,Solar PV,900.4
WS06,2030,Solar PV,927.8
WS07,2030,Solar PV,973.4
WS08,2030,Solar PV,966.5
WS09,2030,Solar PV,883.0
WS10,2030,Solar PV,1031.1
WS11,2030,Solar PV,987.0
WS12,2030,Solar PV,884.0
WS13,2030,Solar PV,948.2
WS14,2030,Solar PV,908.9
WS15,2030,Solar PV,886.5
WS16,2030,Solar PV,906.5
WS17,2030,Solar PV,953.3
WS18,2030,Solar PV,892.3
WS19,2030,Solar PV,1015.2
WS20,2030,Solar PV,946.4
WS21,2030,Solar PV,939.5
WS22,2030,Solar PV,932.1
WS23,2030,Solar PV,866.7
WS24,2030,Solar PV,956.9
WS25,2030,Solar PV,1050.4
WS26,2030,Solar PV,1016.3
WS27,2030,Solar PV,930.4
WS28,2030,Solar PV,939.0
WS29,2030,Solar PV,1001.2
WS30,2030,Solar PV,922.3
WS31,2030,Solar PV,938.2
WS32,2030,Solar PV,1006.7
WS33,2030,Solar PV,928.3
WS34,2030,Solar PV,964.3
WS35,2030,Solar PV,860.1
WS36,2030,Solar PV,917.1
WS01,2033,Solar PV,891.6
WS02,2033,Solar PV,846.8
WS03,2033,Solar PV,919.1
WS04,2033,Solar PV,936.3
WS05,2033,Solar PV,883.3
WS06,2033,Solar PV,916.7
WS07,2033,Solar PV,959.3
WS08,2033,Solar PV,945.0
WS09,2033,Solar PV,870.1
